idx,length,depth,circular
1,272350,1.08x,false
2,211290,1.11x,false
5,134451,1.03x,false
9,91607,1.08x,false
10,88156,1.00x,false
12,86325,1.05x,false
14,73304,1.04x,false
15,65685,1.04x,false
16,63662,1.10x,false
17,58666,1.06x,false
18,54514,1.01x,false
19,52300,1.03x,false
20,48630,1.02x,false
24,41144,1.01x,false
26,39998,1.07x,false
27,39968,1.00x,false
28,38650,1.04x,false
29,37080,1.03x,false
31,35120,1.00x,false
32,32551,1.04x,false
33,24167,1.03x,false
34,23253,1.05x,false
36,18658,1.02x,false
38,16375,2.04x,false
39,15703,1.01x,false
40,12639,1.11x,false
42,12061,1.10x,false
