idx,length,depth,circular
1,272351,1.06x,false
2,211290,1.08x,false
5,134451,1.02x,false
9,88156,1.00x,false
10,86325,1.04x,false
13,73304,1.01x,false
14,63663,1.07x,false
15,61008,1.05x,false
16,58666,1.02x,false
17,57347,1.01x,false
18,53446,1.01x,false
19,52301,1.05x,false
20,48688,1.01x,false
24,41145,1.01x,false
26,39998,1.02x,false
28,38650,1.03x,false
29,37080,1.01x,false
32,32552,1.01x,false
33,29512,1.02x,false
34,23973,1.02x,false
35,23066,1.03x,false
37,18859,1.03x,false
39,16544,2.04x,false
41,12879,1.08x,false
43,12062,1.12x,false
