idx,length,depth,circular
2,331216,1.00x,false
3,236849,1.00x,false
4,201310,1.13x,false
5,171739,1.11x,false
6,152749,1.17x,false
7,132221,1.15x,false
8,125752,1.03x,false
9,96626,1.07x,false
10,95086,1.11x,false
11,77860,1.05x,false
12,75175,1.06x,false
13,66257,1.08x,false
14,57008,1.07x,false
15,54277,1.09x,false
16,49248,1.05x,false
17,44425,1.01x,false
18,38868,1.09x,false
19,38679,1.07x,false
20,34486,1.08x,false
21,29247,1.02x,false
22,27540,1.02x,false
23,27341,1.03x,false
24,22415,1.04x,false
25,20720,5.20x,true
