idx,length,depth,circular
2,181038,1.06x,false
3,170667,1.02x,false
5,138633,1.00x,false
6,136102,1.11x,false
8,116091,1.05x,false
10,96880,1.08x,false
11,78258,1.00x,false
12,74566,1.04x,false
13,74353,1.04x,false
16,62049,1.09x,false
18,58862,1.12x,false
19,54424,1.03x,false
22,51160,1.04x,false
23,50034,1.07x,false
25,38818,1.03x,false
26,34021,1.06x,false
28,30570,1.11x,false
29,30412,1.02x,false
30,30134,1.01x,false
31,25648,1.12x,false
32,24556,1.01x,false
35,16017,1.01x,false
36,15763,1.00x,false
37,12101,2.08x,false
