idx,length,depth,circular
2,180416,1.09x,false
3,161985,1.06x,false
5,116413,1.09x,false
6,114925,1.03x,false
7,108028,1.03x,false
10,94819,1.00x,false
12,85154,1.00x,false
13,75304,1.06x,false
14,73304,1.04x,false
16,61248,1.07x,false
18,52736,1.04x,false
19,51127,1.04x,false
20,50271,1.01x,false
22,45337,1.02x,false
23,45037,1.13x,false
26,42077,1.08x,false
27,40446,1.05x,false
28,38720,1.02x,false
29,37079,1.01x,false
31,35120,1.00x,false
32,31006,1.10x,false
33,29310,1.04x,false
34,23972,1.00x,false
36,23066,1.02x,false
40,15895,1.07x,false
