idx,length,depth,circular
1,284166,1.08x,false
4,179026,1.05x,false
6,165065,1.04x,false
7,146153,1.08x,false
9,113574,1.00x,false
11,91337,1.02x,false
13,73304,1.04x,false
14,69983,1.06x,false
15,61247,1.08x,false
16,52289,1.04x,false
20,42092,1.00x,false
21,38650,1.04x,false
22,36066,1.02x,false
24,32770,1.02x,false
25,29880,1.07x,false
26,29446,1.00x,false
27,29224,1.06x,false
29,23030,1.01x,false
30,21815,1.10x,false
31,17615,1.00x,false
33,15819,1.04x,false
35,14347,1.03x,false
36,12895,1.09x,false
40,10552,1.00x,false
