idx,length,depth,circular
2,208377,1.00x,false
3,198464,1.13x,false
5,150177,1.09x,false
7,125345,1.12x,false
9,115763,1.12x,false
10,108295,1.04x,false
12,96725,1.13x,false
13,89651,1.12x,false
14,78449,1.00x,false
15,67472,1.07x,false
18,57593,1.06x,false
19,55070,1.10x,false
20,53970,1.05x,false
21,38877,1.07x,false
22,36440,1.09x,false
23,33831,1.01x,false
24,31408,1.05x,false
25,30134,1.05x,false
26,24556,1.07x,false
28,21468,1.04x,false
31,18043,2.16x,false
32,17159,1.02x,false
34,11723,2.91x,false
35,11632,1.03x,false
