idx,length,depth,circular
3,167741,1.07x,false
4,117812,1.08x,false
6,104803,1.05x,false
7,104274,1.09x,false
8,103671,1.00x,false
10,93458,1.10x,false
11,88153,1.04x,false
12,86539,1.02x,false
13,86325,1.06x,false
14,79096,1.02x,false
15,73304,1.05x,false
16,65685,1.06x,false
17,63598,1.06x,false
18,58666,1.09x,false
19,54514,1.05x,false
20,51254,1.07x,false
21,50174,1.10x,false
22,48630,1.04x,false
23,43541,1.02x,false
24,43018,1.00x,false
25,40120,1.04x,false
26,39998,1.03x,false
27,39966,1.01x,false
28,38650,1.06x,false
29,37080,1.05x,false
30,36815,1.04x,false
32,35120,1.05x,false
34,32551,1.04x,false
35,29310,1.07x,false
36,24167,1.06x,false
37,23066,1.07x,false
38,18658,1.01x,false
39,16780,1.05x,false
40,16375,2.10x,false
41,15703,1.04x,false
42,12639,1.03x,false
44,12140,1.02x,false
45,12061,1.10x,false
47,11790,1.03x,false
