idx,length,depth,circular
1,211352,1.11x,false
4,167741,1.08x,false
6,104806,1.05x,false
7,104274,1.09x,false
8,103725,1.00x,false
10,91606,1.10x,false
11,88213,1.03x,false
12,86539,1.03x,false
13,86325,1.08x,false
14,79096,1.01x,false
15,73302,1.05x,false
16,65685,1.07x,false
17,63599,1.09x,false
18,58666,1.08x,false
19,58524,1.03x,false
20,51254,1.06x,false
21,48630,1.03x,false
22,46508,1.02x,false
24,43541,1.00x,false
25,43018,1.00x,false
26,39998,1.05x,false
27,38650,1.06x,false
28,37243,1.06x,false
29,36815,1.04x,false
30,35187,1.00x,false
31,35120,1.04x,false
32,23972,1.05x,false
33,23504,1.00x,false
34,23064,1.04x,false
35,20955,1.04x,false
36,18832,1.07x,false
37,17706,1.03x,false
39,16139,1.02x,false
40,15383,1.02x,false
41,12639,1.10x,false
43,12061,1.07x,false
45,11610,1.07x,false
